Domain,Zone,Region,Branch Name,Branch Code,No_of_Samity,No_of_Members,No_of_Borrower,SEP_2025_ Month_Loan,Loan_Outstanding_Principal,Loan_Service_Charge,Total_Outstanding,Overdue_Principal,Overdue_Service_Charge,Total_Overdue,GS,SS,TSS,TDMB,Total_Savings_Balance
OP Domain Sylhet,Sunamganj Zone,Jawabazar Region,Dowarabazar,0695,101,1669,1294,13070000,75566782,10036470,85603252,4352314,579323,4931637,21761206,5037886,9531100,1595000,37925192
OP Domain Dhaka,Narsingdi Zone,Hasnabad Region,Raypura,0696,105,1484,1102,13790000,87377488,14468966,101846454,2708737,369638,3078375,21333023,5851712,6247600,1500000,34932335
OP Domain Dhaka,Dhamrai Zone,Ghior Region,Manikgonj,0697,75,1224,1047,5075000,40483834,5651586,46135420,11269107,1577534,12846641,7389195,1346353,1676200,385000,10796748
OP Domain Dhaka,Dhamrai Zone,Dhamrai Region,Singair,0698,92,1202,963,4340000,38858095,5326870,44184965,12772262,1852609,14624871,5501775,1497543,1384200,1040000,9423518
OP Domain Comilla,Comilla West Zone,Homna Region,Bakhrabad,0699,75,1014,910,12200000,74195799,11326962,85522762,3063911,425132,3489043,10584247,5537556,3799300,625000,20546103
OP Domain Barisal,Madaripur Zone,Shariatpur Region,Jajira,0700,86,1297,1194,9260000,57259701,7655073,64914774,5994070,789720,6783790,9482314,3536402,2341200,175000,15534916
OP Domain Sylhet,Sunamganj Zone,Sunamganj Region,Sunamganj Sadar,0701,54,902,811,10580000,54725373,7212557,61937930,1038834,138651,1177485,15539837,3544302,5225600,2100000,26409739
OP Domain Comilla,Laxmipur Zone,Raypur Region,Haydargonj,0702,84,947,861,7365000,53625019,7519450,61144469,6599175,877118,7476293,7271700,3861573,1797400,50000,12980673
OP Domain Mymensingh,Gazipur Zone,Kapasia Region,Amraid,0703,81,961,885,6510000,49058964,6876550,55935514,9450950,1255360,10706310,10373412,2862679,2041000,455000,15732091
OP Domain Barisal,Madaripur Zone,Vedorgonj Region,Noria-2,0704,77,1318,1153,9405000,64602177,9244975,73847152,9492447,1287485,10779932,11406673,3807934,2732300,1125000,19071907
OP Domain Barisal,Madaripur Zone,Shariatpur Region,Shibchar,0705,88,1256,1207,8082000,53854643,7274751,61129393,9353440,1267239,10620679,9040362,3079135,1694200,1100000,14913697
OP Domain Dhaka,Narsingdi Zone,Hasnabad Region,Bashgari,0706,85,1372,1118,14240000,87319025,11796746,99115771,1337479,179659,1517138,16156329,7663731,4826400,400000,29046460
OP Domain Chittagaon,Noakhali Zone,Begumganj Region,Chowmuhuni-2,0707,97,1001,940,8570000,63759769,9236590,72996359,6629986,908939,7538925,11780662,4635847,2473400,1630000,20519909
OP Domain Chittagaon,Noakhali Zone,Subarnochar Region,Boyarchar,0708,60,1156,1062,9402000,56188807,7478815,63667622,3805154,499280,4304434,7539397,4239596,2748800,25000,14552793
OP Domain Mymensingh,Netrokona Zone,Shamgonj area,Atharabari,0709,96,1397,1243,7810000,51148008,6730095,57878103,3887278,519381,4406660,11077766,4593417,4836000,150000,20657183
OP Domain Sylhet,Sunamganj Zone,Sunamganj Region,Derai,0710,56,951,811,11680000,68497825,9268341,77766166,1204204,161391,1365595,16875308,4663947,8517700,150000,30206955
OP Domain Sylhet,Sunamganj Zone,Jawabazar Region,Jawabazar,0711,52,1049,764,10795000,58766706,7871345,66638051,516823,69128,585951,16537658,4131619,8743000,715000,30127277
OP Domain Chittagaon,Noakhali Zone,Subarnochar Region,Vatirtek,0712,81,1529,1435,13190000,72667837,9701987,82369824,6392663,843565,7236228,11278458,3555454,3459400,700000,18993312
OP Domain Dhaka,Narsingdi Zone,Belabo Region,Kalikapur,0713,93,1654,1491,15550000,97313251,13402352,110715603,6724798,898409,7623207,21250800,4832034,5169700,1565000,32817534
OP Domain Comilla,Laxmipur Zone,Laxmipur Region,Bhabaniganj-3,0714,75,1024,834,8735000,58493205,8361920,66855125,2534662,403749,2938411,12258591,4398022,4198000,280000,21134613
OP Domain Barisal,Faridpur Zone,Bhanga Region,Bhanga-2,0715,96,1397,1247,9560000,58618713,7946560,66565273,10996685,1474596,12471281,13551771,2311337,2294400,1025000,19182508
OP Domain Barisal,Barisal Zone,Ujirpur Region,Ujirpur,0716,101,1679,1523,9745000,67668722,9515148,77183871,12721107,1776750,14497858,12615298,3712584,3587400,1390000,21305282
OP Domain Barisal,Madaripur Zone,Shariatpur Region,Chikondi,0717,74,1227,1054,8360000,47623103,6581689,54204793,4108356,550545,4658901,10841847,3343284,5606900,270000,20062031
OP Domain Comilla,Laxmipur Zone,Laxmipur Region,Dighli Bazar,0718,91,1400,1157,12975000,96636159,14723888,111360047,2977745,497049,3474794,12485053,4961368,4912600,2000000,24359021
OP Domain Comilla,Laxmipur Zone,Alexander Region,Hazirhat,0719,65,956,874,8330000,58575841,8597714,67173555,1951843,262908,2214751,10620040,7096341,4434800,260000,22411181
OP Domain Khulna,Khulna Zone,Khulna Region,Botiaghata,0720,72,1503,1365,6380000,47760855,6686040,54446895,12794688,2071041,14865729,9427454,2019820,1913100,225000,13585374
OP Domain Comilla,Laxmipur Zone,Alexander Region,Munsirhat,0721,74,1188,1065,10130000,66135923,8994047,75129970,514951,69991,584942,11267162,6141365,2598000,450000,20456527
OP Domain Mymensingh,Tangail Zone,Mirzapur Region,Nolua,0722,107,1642,1271,8735000,58536513,8149215,66685728,6353002,863507,7216509,16934265,3496573,3008800,1575000,25014638
OP Domain Mymensingh,Netrokona Zone,Netrokona area,Modon,0723,103,1675,1381,9670000,56678027,7619324,64297351,2197818,296086,2493904,14322532,5518821,6561000,710000,27112353
OP Domain Mymensingh,Netrokona Zone,Kishoreganj Region,Nandail,0724,100,1439,1207,9685000,58894907,7649089,66543996,2449191,320336,2769527,14202932,4582083,5424500,340000,24549515
OP Domain Sylhet,Sunamganj Zone,Bishomborpur Region,Taherpur-2,0725,80,1421,1309,11400000,62961013,8380691,71341704,2494915,334084,2828999,15232033,5557794,5743700,20000,26553527
OP Domain Chittagaon,Noakhali Zone,Subarnochar Region,Aktarmiarhat,0726,55,1001,911,7970000,52480861,7174772,59655633,3310890,439178,3750068,7750164,3219045,3496300,675000,15140509
OP Domain Dhaka,Narsingdi Zone,Madhobdi Region,Shreenagor,0727,118,1764,1598,15010000,93781893,12582747,106364640,4877896,650544,5528440,20552289,7688704,4640500,425000,33306493
OP Domain Comilla,Laxmipur Zone,Laxmipur Region,Mojuchowdhurirhat,0728,114,1962,1773,15830000,98751696,13717680,112469377,1659799,217383,1877182,19250106,7103193,5023200,985000,32361499
OP Domain Khulna,Satkhira Zone,Navaran Region,Kolaroa,0729,100,1511,1361,8940000,56243778,7585710,63829488,8422712,1202554,9625266,11878283,2273104,2909600,200000,17260987
OP Domain Barisal,Faridpur Zone,Boalmari Region,Modhukhali-2,0730,81,1137,1090,6630000,42600706,5751156,48351861,7555625,989589,8545214,7458341,2693931,1706400,150000,12008672
OP Domain Mymensingh,Netrokona Zone,Shamgonj Region,Durgapur-5,0731,90,1493,1245,8000000,49800134,6666737,56466871,6477191,854301,7331492,11684842,2227946,2722600,520000,17155388
OP Domain Barisal,Faridpur Zone,Bhanga Region,Moksedpur,0732,83,1391,1298,7285000,50078901,6651229,56730130,10353476,1364684,11718160,9657394,3567702,2436400,1600000,17261496
OP Domain Sylhet,Beanibazar Zone,Juri Region,Zuri,0733,95,1590,1255,11705000,63835806,8597511,72433317,4149648,555016,4704664,16864118,4221934,6306000,640000,28032052
OP Domain Barisal,Faridpur Zone,Bhanga Region,Sodorpur,0734,78,1160,1066,7995000,53181680,7167768,60349449,13014839,1765069,14779908,12687677,1719127,2555200,125000,17087004
OP Domain Barisal,Barisal Zone,Ujirpur Region,Gouronodi,0735,131,1761,1581,10220000,81432466,11384158,92816624,15675771,2123479,17799251,13419567,3617825,3618800,170000,20826192
OP Domain Barisal,Madaripur Zone,Mostofapur Region,Kalkini-1,0736,97,1433,1167,14425000,76209497,10924931,87134428,7551979,1072029,8624009,14656520,6515524,4371300,225000,25768344
OP Domain Khulna,Jessore Zone,Lohagara Region,Ramdia,0737,65,1066,980,5705000,36900602,5095048,41995650,6807922,1027608,7835530,7802971,1213090,1686700,1075000,11777761
OP Domain Mymensingh,Gazipur Zone,Kapasia Region,Bormi,0738,67,993,840,7600000,52035347,7275957,59311304,5494437,750187,6244624,13320017,3328063,5064900,1500000,23212980
OP Domain Chittagaon,Noakhali Zone,Subarnochar Region,Subornochar,0739,71,1042,977,9911000,50506447,6849419,57355866,4684323,616737,5301060,8172065,3116972,2879500,270000,14438537
OP Domain Sylhet,Beanibazar Zone,Beanibazar Region,Beanibazar-3,0740,80,1305,1019,9840000,63384158,8526284,71910442,1812800,240785,2053585,16257507,5114521,4110800,1230000,26712828
OP Domain Comilla,Comilla West Zone,Srikail Region,Solimgonj,0741,84,1352,1261,13560000,93946032,13269402,107215434,9476581,1274905,10751486,11844190,5052703,4051700,6045000,26993593
OP Domain Khulna,Khulna Zone,Doulatpur Region,Shahpur,0742,74,1369,1231,5105000,41865552,5721214,47586766,16156988,2336133,18493121,6774048,1029405,1110100,150000,9063553
OP Domain Sylhet,Sunamganj Zone,Bishomborpur Region,Jamalganj-2,0743,93,1789,1473,18110000,105354707,14045445,119400152,5615901,738193,6354094,24595117,6579661,11810550,285000,43270328
OP Domain Sylhet,Sunamganj Zone,Bishomborpur Region,Bishwamvarpur,0744,98,2155,1787,15405000,94198445,12658145,106856590,7143890,962305,8106195,26188340,7428847,7925300,225000,41767487
OP Domain Barisal,Faridpur Zone,Boalmari Region,Boalmari-2,0745,68,1169,1041,7840000,42355372,5797490,48152862,6717117,888753,7605870,12349357,2185075,1442500,1400000,17376932
OP Domain Barisal,Madaripur Zone,Vedorgonj Region,Damudya,0746,93,1429,1276,6970000,59562869,8212849,67775719,9789449,1343937,11133386,9954457,2913776.01,3014400,965000,16847633.01
OP Domain Sylhet,Hobigonj Zone,Madhobpur Region,Madhobpur-2,0747,73,1105,983,9160000,56509232,7559828,64069061,5503228,755125,6258353,10960286,3069383,5097200,1425000,20551869
OP Domain Khulna,Satkhira Zone,Kaliganj Region,Ghona,0748,80,1353,1178,5690000,42218584,5668739,47887323,10610809,1406877,12017686,12721069,1551372,1607800,3890000,19770241
OP Domain Comilla,Chandpur Zone,Foridjonj Region,Faridganj-2,0749,79,887,818,9660000,60650758,9027518,69678276,5455214,751159,6206373,9736814,4175035,2845300,920000,17677149
OP Domain Comilla,Chandpur Zone,Foridjonj Region,Ramganj-2,0750,76,854,751,5495000,46518871,6624744,53143615,8129030,1141862,9270892,4826414,3172511.37,2155440,385000,10539365.37
OP Domain Khulna,Jessore Zone,Lohagara Region,Kashiani,0751,92,1533,1406,6647000,47472736,6320515,53793251,13498183,1817488,15315671,9430956,2713484,3699600,2795000,18639040
OP Domain Comilla,Chandpur Zone,kochua Region,Kochua-2,0752,63,1063,895,10630000,64299294,9661992,73961286,3265830,440045,3705875,12866513,3506852,3395600,1235000,21003965
OP Domain Mymensingh,Netrokona Zone,Netrokona Region,Netrokona,0753,121,1930,1787,9930000,66181355,8810718,74992073,7738504,1007113,8745617,22787422,4079715,5377700,1610000,33854837
OP Domain Mymensingh,Netrokona Zone,Kishoreganj Region,Tarail,0754,77,1058,862,5990000,34238411,4584966,38823377,2688649,354204,3042853,8156963,3274278,4144500,1980000,17555741
OP Domain Comilla,Laxmipur Zone,Alexander Region,Alekgendar,0755,97,1132,1002,4320000,53129454,7383032,60512486,7859025,1073414,8932439,8633372,2958276,2103510,590000,14285158
OP Domain Comilla,Laxmipur Zone,Raypur Region,Rakhalia Bazar,0756,78,1131,880,9560000,68446663,10860582,79307245,5353746,826914,6180660,10533681,7418724,3365800,2475000,23793205
OP Domain Barisal,Barisal Zone,Ujirpur Region,Hizla,0757,84,1283,1162,8270000,46508371,6346861,52855232,5623253,745708,6368961,10053317,2653733,2961800,100000,15768850
OP Domain Barisal,Madaripur Zone,Mostofapur Region,Rajoir,0758,86,1235,1094,13010000,75910862,10440473,86351335,8615793,1154736,9770529,10445770,5572406,3721000,185000,19924176
OP Domain Mymensingh,Gazipur Zone,Valuka Region,Uthura,0759,87,1545,1381,7630000,57620744,7625145,65245889,7958001,1014741,8972742,11429162,3377073,4016900,1750000,20573135
OP Domain Comilla,Chandpur Zone,Foridjonj Region,Haimchar,0760,95,1317,1136,9080000,55226454,7384450,62610903,8169418,1071744,9241162,12223335,3024077,2302700,570000,18120112
OP Domain Comilla,Comilla West Zone,Srikail Region,Nabinagar,0761,64,828,784,12060000,69616756,9826844,79443600,2602494,374620,2977114,9756521,10541207,4347100,275000,24919828
